거래소코드,label,pred,proba1,회사명,회계년도
004790,0.0,0,0.023361195,(주)렉스엘이앤지,2012/12
004800,1.0,1,0.89428675,(주)효성,2012/12
004830,1.0,1,0.922435,(주)덕성,2015/12
004870,1.0,1,0.9490374,(주)티웨이홀딩스,2012/12
004890,1.0,1,0.9421713,동일산업(주),2019/12
004910,0.0,0,0.016518924,조광페인트(주),2018/12
004920,0.0,0,0.020449461,(주)씨아이테크,2012/12
004960,1.0,1,0.92998224,한신공영(주),2012/12
004970,1.0,1,0.92400837,신라교역(주),2015/12
004980,1.0,1,0.9612189,성신양회(주),2012/12
004990,1.0,1,0.9598592,롯데지주(주),2017/12
005010,1.0,1,0.98724186,(주)휴스틸,2016/12
005030,0.0,0,0.054425936,부산주공(주),2012/12
005070,0.0,0,0.063803144,코스모신소재(주),2012/12
005090,1.0,1,0.9581752,에스지씨에너지(주),2014/12
005110,1.0,1,0.93794936,(주)한창,2015/12
005320,1.0,1,0.9523764,(주)국동,2017/12
005360,1.0,1,0.87239,(주)모나미,2013/12
005420,0.0,0,0.010136773,코스모화학(주),2012/12
005450,0.0,0,0.03075949,(주)신한,2012/12
005620,0.0,0,0.01876848,(주)대성합동지주,2012/12
005690,0.0,0,0.005387998,파미셀(주),2012/12
005750,0.0,0,0.05030142,대림비앤코(주),2012/12
005850,1.0,1,0.9484332,에스엘(주),2018/12
005860,1.0,1,0.95376575,한일사료(주),2012/12
005870,0.0,0,0.0075082816,(주)휴니드테크놀러지스,2012/12
005880,1.0,1,0.8733338,대한해운(주),2012/12
005900,0.0,0,0.013764389,(주)동양건설산업,2012/12
005950,0.0,0,0.1071523,(주)이수화학,2013/12
005960,0.0,0,0.0712573,동부건설(주),2012/12
005980,0.0,0,0.016862059,성지건설(주),2015/12
006050,1.0,1,0.91767234,(주)국영지앤엠,2012/12
006060,1.0,1,0.9048721,(주)화승인더스트리,2013/12
006090,0.0,0,0.015325009,(주)사조오양,2013/12
006110,0.0,0,0.07474099,삼아알미늄(주),2013/12
006200,0.0,0,0.016149115,(주)한국전자홀딩스,2012/12
006340,1.0,1,0.9759346,대원전선(주),2017/12
006360,0.0,0,0.0042840177,지에스건설(주),2013/12
006370,0.0,0,0.01138713,(주)대구백화점,2019/12
006380,0.0,0,0.037452247,(주)카프로,2012/12
006390,1.0,1,0.91674095,한일현대시멘트(주),2012/12
006400,1.0,1,0.9698289,삼성SDI(주),2013/12
006490,0.0,0,0.009904856,(주)인스코비,2012/12
006570,0.0,0,0.022615263,대림통상(주),2012/12
006580,1.0,1,0.9907216,대양제지공업(주),2015/12
006650,1.0,1,0.9125178,대한유화(주),2012/12
006660,0.0,0,0.04605742,삼성공조(주),2018/12
006730,0.0,0,0.013407223,(주)서부티엔디,2012/12
006740,1.0,1,0.9161998,영풍제지(주),2015/12
006880,0.0,0,0.02151578,신송홀딩스(주),2016/12
006910,0.0,0,0.06603032,보성파워텍(주),2013/12
006980,0.0,0,0.04852633,(주)우성,2017/12
007110,0.0,0,0.017129038,(주)일신석재,2014/12
007120,0.0,0,0.0035525816,(주)미래아이앤지,2013/12
007190,0.0,0,0.09739245,한솔아트원제지(주),2012/12
007210,1.0,1,0.9735578,(주)벽산,2019/12
007280,0.0,0,0.01723189,(주)한국특강,2012/12
007370,0.0,0,0.035097938,진양제약(주),2015/12
007390,1.0,1,0.86544144,(주)네이처셀,2012/12
007460,1.0,1,0.8832046,(주)에이프로젠,2013/12
007530,0.0,0,0.018301629,(주)와이엠,2016/12
007610,0.0,0,0.053363137,선도전기(주),2018/12
007630,0.0,0,0.043176014,(주)폴루스바이오팜,2012/12
007660,0.0,0,0.058349993,(주)이수페타시스,2017/12
007720,1.0,1,0.7936406,(주)대명소노시즌,2012/12
007810,1.0,1,0.8467714,(주)코리아써키트,2018/12
007820,1.0,1,0.90596676,(주)에스엠코어,2016/12
007860,0.0,0,0.06492153,(주)서연,2017/12
007980,1.0,1,0.942423,태평양물산(주),2012/12
008040,0.0,0,0.01640057,사조동아원(주),2012/12
008290,1.0,1,0.93469864,원풍물산(주),2014/12
008350,1.0,1,0.94447565,(주)남선알미늄,2012/12
008420,1.0,1,0.93112856,문배철강(주),2012/12
008500,0.0,0,0.13452494,일정실업(주),2017/12
008600,1.0,1,0.93067175,(주)윌비스,2012/12
008700,0.0,0,0.10222748,아남전자(주),2012/12
008800,1.0,1,0.9376571,(주)행남사,2012/12
008830,0.0,0,0.043206837,대동기어(주),2012/12
008900,0.0,0,0.0049794577,(주)티이씨앤코,2012/12
008970,0.0,0,0.03679676,동양철관(주),2013/12
009140,0.0,0,0.0315087,경인전자(주),2017/12
009150,1.0,1,0.9762324,삼성전기(주),2014/12
009190,0.0,0,0.004985462,(주)대양금속,2012/12
009200,1.0,1,0.9634383,무림페이퍼(주),2012/12
009270,1.0,1,0.95601344,(주)신원,2012/12
009310,1.0,1,0.87587357,참엔지니어링(주),2012/12
