거래소코드,회사명,회계년도,label,pred,proba1
004060,(주)에스지세계물산,2012/12,0.0,0.0,0.17
004080,(주)신흥,2012/12,1.0,1.0,0.8
004100,태양금속공업(주),2019/12,0.0,0.0,0.11
004140,(주)동방,2013/12,0.0,0.0,0.18
004150,한솔홀딩스(주),2014/12,1.0,1.0,0.79
004170,(주)신세계,2020/12,1.0,0.0,0.4
004200,고려개발(주),2015/12,1.0,1.0,0.79
004270,(주)남성,2012/12,0.0,0.0,0.06
004410,서울식품공업(주),2018/12,0.0,0.0,0.1
004430,송원산업(주),2014/12,1.0,1.0,0.98
004440,(주)삼일씨엔에스,2020/12,1.0,1.0,0.75
004540,깨끗한나라(주),2015/12,1.0,1.0,0.93
004710,한솔테크닉스(주),2012/12,0.0,0.0,0.05
004720,팜젠사이언스(주),2012/12,0.0,0.0,0.15
004740,(주)보루네오가구,2012/12,0.0,0.0,0.02
004770,써니전자(주),2012/12,0.0,0.0,0.12
004790,(주)렉스엘이앤지,2012/12,0.0,0.0,0.03
004800,(주)효성,2012/12,1.0,1.0,0.78
004830,(주)덕성,2015/12,1.0,1.0,0.98
004840,(주)디알비동일,2021/12,1.0,1.0,0.63
004870,(주)티웨이홀딩스,2012/12,1.0,1.0,0.96
004890,동일산업(주),2019/12,1.0,1.0,0.94
004910,조광페인트(주),2018/12,0.0,0.0,0.17
004920,(주)씨아이테크,2012/12,0.0,0.0,0.04
004960,한신공영(주),2012/12,1.0,1.0,0.74
004970,신라교역(주),2015/12,1.0,1.0,0.98
004980,성신양회(주),2012/12,1.0,1.0,0.91
004990,롯데지주(주),2017/12,1.0,1.0,0.93
005010,(주)휴스틸,2016/12,1.0,1.0,0.98
005030,부산주공(주),2012/12,0.0,0.0,0.15
005070,코스모신소재(주),2012/12,0.0,0.0,0.12
005090,에스지씨에너지(주),2014/12,1.0,1.0,0.91
005110,(주)한창,2015/12,1.0,1.0,0.96
005320,(주)국동,2017/12,1.0,1.0,0.95
005360,(주)모나미,2013/12,1.0,1.0,0.84
005420,코스모화학(주),2012/12,0.0,0.0,0.04
005430,한국공항(주),2020/12,0.0,0.0,0.41
005450,(주)신한,2012/12,0.0,0.0,0.11
005620,(주)대성합동지주,2012/12,0.0,0.0,0.15
005690,파미셀(주),2012/12,0.0,0.0,0.06
005750,대림비앤코(주),2012/12,0.0,0.0,0.25
005850,에스엘(주),2018/12,1.0,1.0,0.81
005860,한일사료(주),2012/12,1.0,1.0,0.86
005870,(주)휴니드테크놀러지스,2012/12,0.0,0.0,0.04
005880,대한해운(주),2012/12,1.0,1.0,0.73
005900,(주)동양건설산업,2012/12,0.0,0.0,0.11
005950,(주)이수화학,2013/12,0.0,0.0,0.26
005960,동부건설(주),2012/12,0.0,0.0,0.17
005980,성지건설(주),2015/12,0.0,0.0,0.18
006050,(주)국영지앤엠,2012/12,1.0,1.0,0.87
006060,(주)화승인더스트리,2013/12,1.0,1.0,0.81
006090,(주)사조오양,2013/12,0.0,0.0,0.06
006110,삼아알미늄(주),2013/12,0.0,0.0,0.22
006200,(주)한국전자홀딩스,2012/12,0.0,0.0,0.07
006340,대원전선(주),2017/12,1.0,1.0,0.89
006360,지에스건설(주),2013/12,0.0,0.0,0.14
006370,(주)대구백화점,2019/12,0.0,0.0,0.05
006380,(주)카프로,2012/12,0.0,0.0,0.27
006390,한일현대시멘트(주),2012/12,1.0,1.0,0.94
006400,삼성SDI(주),2013/12,1.0,1.0,0.97
006490,(주)인스코비,2012/12,0.0,0.0,0.1
006570,대림통상(주),2012/12,0.0,0.0,0.14
006580,대양제지공업(주),2015/12,1.0,1.0,0.79
006650,대한유화(주),2012/12,1.0,1.0,0.93
006660,삼성공조(주),2018/12,0.0,0.0,0.23
006730,(주)서부티엔디,2012/12,0.0,0.0,0.09
006740,영풍제지(주),2015/12,1.0,1.0,0.97
006840,에이케이홀딩스(주),2020/12,0.0,0.0,0.23
006880,신송홀딩스(주),2016/12,0.0,0.0,0.06
006910,보성파워텍(주),2013/12,0.0,0.0,0.22
006980,(주)우성,2017/12,0.0,0.0,0.26
007110,(주)일신석재,2014/12,0.0,0.0,0.07
007120,(주)미래아이앤지,2013/12,0.0,0.0,0.05
007190,한솔아트원제지(주),2012/12,0.0,0.0,0.16
007210,(주)벽산,2019/12,1.0,1.0,0.91
007280,(주)한국특강,2012/12,0.0,0.0,0.12
007370,진양제약(주),2015/12,0.0,0.0,0.27
007390,(주)네이처셀,2012/12,1.0,1.0,0.8
007460,(주)에이프로젠,2013/12,1.0,1.0,0.7
007530,(주)와이엠,2016/12,0.0,0.0,0.07
007610,선도전기(주),2018/12,0.0,0.0,0.29
007630,(주)폴루스바이오팜,2012/12,0.0,0.0,0.08
007660,(주)이수페타시스,2017/12,0.0,0.0,0.18
007720,(주)대명소노시즌,2012/12,1.0,1.0,0.78
007770,한일화학공업(주),2021/12,1.0,0.0,0.42
007810,(주)코리아써키트,2018/12,1.0,1.0,0.71
007820,(주)에스엠코어,2016/12,1.0,1.0,0.91
007860,(주)서연,2017/12,0.0,0.0,0.19
007980,태평양물산(주),2012/12,1.0,1.0,0.78
008040,사조동아원(주),2012/12,0.0,0.0,0.16
008060,(주)대덕,2020/12,1.0,0.0,0.27
008290,원풍물산(주),2014/12,1.0,1.0,0.82
008350,(주)남선알미늄,2012/12,1.0,1.0,0.68
008420,문배철강(주),2012/12,1.0,1.0,0.81
008470,(주)부-스타,2021/12,0.0,1.0,0.66
008500,일정실업(주),2017/12,0.0,0.0,0.28
008600,(주)윌비스,2012/12,1.0,1.0,0.85
008700,아남전자(주),2012/12,0.0,0.0,0.24
008770,(주)호텔신라,2020/12,1.0,0.0,0.15
008800,(주)행남사,2012/12,1.0,1.0,0.79
008830,대동기어(주),2012/12,0.0,0.0,0.13
008900,(주)티이씨앤코,2012/12,0.0,0.0,0.01
008970,동양철관(주),2013/12,0.0,0.0,0.11
009140,경인전자(주),2017/12,0.0,0.0,0.2
009150,삼성전기(주),2014/12,1.0,1.0,0.76
009190,(주)대양금속,2012/12,0.0,0.0,0.04
009200,무림페이퍼(주),2012/12,1.0,1.0,0.82
