거래소코드,회사명,회계년도,label,pred,proba1
004060,(주)에스지세계물산,2012/12,0.0,0,0.07087069
004080,(주)신흥,2012/12,1.0,1,0.9463296
004100,태양금속공업(주),2019/12,0.0,0,0.06306215
004140,(주)동방,2013/12,0.0,0,0.057681374
004150,한솔홀딩스(주),2014/12,1.0,1,0.9426652
004170,(주)신세계,2020/12,1.0,0,0.058690265
004200,고려개발(주),2015/12,1.0,1,0.93680936
004270,(주)남성,2012/12,0.0,0,0.013797227
004410,서울식품공업(주),2018/12,0.0,0,0.022531131
004430,송원산업(주),2014/12,1.0,1,0.9604034
004440,(주)삼일씨엔에스,2020/12,1.0,1,0.7136363
004540,깨끗한나라(주),2015/12,1.0,1,0.9790887
004710,한솔테크닉스(주),2012/12,0.0,0,0.0069030374
004720,팜젠사이언스(주),2012/12,0.0,0,0.071967214
004740,(주)보루네오가구,2012/12,0.0,0,0.0038257956
004770,써니전자(주),2012/12,0.0,0,0.031112593
004790,(주)렉스엘이앤지,2012/12,0.0,0,0.024545895
004800,(주)효성,2012/12,1.0,1,0.9128548
004830,(주)덕성,2015/12,1.0,1,0.9928347
004840,(주)디알비동일,2021/12,1.0,1,0.86382693
004870,(주)티웨이홀딩스,2012/12,1.0,1,0.957277
004890,동일산업(주),2019/12,1.0,1,0.9600214
004910,조광페인트(주),2018/12,0.0,0,0.014682613
004920,(주)씨아이테크,2012/12,0.0,0,0.044947453
004960,한신공영(주),2012/12,1.0,1,0.95633435
004970,신라교역(주),2015/12,1.0,1,0.9961797
004980,성신양회(주),2012/12,1.0,1,0.96383214
004990,롯데지주(주),2017/12,1.0,1,0.98391044
005010,(주)휴스틸,2016/12,1.0,1,0.9863551
005030,부산주공(주),2012/12,0.0,0,0.045776453
005070,코스모신소재(주),2012/12,0.0,0,0.033660013
005090,에스지씨에너지(주),2014/12,1.0,1,0.9781431
005110,(주)한창,2015/12,1.0,1,0.98761684
005320,(주)국동,2017/12,1.0,1,0.9865698
005360,(주)모나미,2013/12,1.0,1,0.93975055
005420,코스모화학(주),2012/12,0.0,0,0.011610257
005430,한국공항(주),2020/12,0.0,0,0.23006955
005450,(주)신한,2012/12,0.0,0,0.013905837
005620,(주)대성합동지주,2012/12,0.0,0,0.032965343
005690,파미셀(주),2012/12,0.0,0,0.0082850335
005750,대림비앤코(주),2012/12,0.0,0,0.04214304
005850,에스엘(주),2018/12,1.0,1,0.975022
005860,한일사료(주),2012/12,1.0,1,0.9866638
005870,(주)휴니드테크놀러지스,2012/12,0.0,0,0.00054766744
005880,대한해운(주),2012/12,1.0,1,0.89291656
005900,(주)동양건설산업,2012/12,0.0,0,0.037228018
005950,(주)이수화학,2013/12,0.0,0,0.101862386
005960,동부건설(주),2012/12,0.0,0,0.044899106
005980,성지건설(주),2015/12,0.0,0,0.022550737
006050,(주)국영지앤엠,2012/12,1.0,1,0.9519051
006060,(주)화승인더스트리,2013/12,1.0,1,0.9201398
006090,(주)사조오양,2013/12,0.0,0,0.02050424
006110,삼아알미늄(주),2013/12,0.0,0,0.048938688
006200,(주)한국전자홀딩스,2012/12,0.0,0,0.02860735
006340,대원전선(주),2017/12,1.0,1,0.9460076
006360,지에스건설(주),2013/12,0.0,0,0.018617908
006370,(주)대구백화점,2019/12,0.0,0,0.007834874
006380,(주)카프로,2012/12,0.0,0,0.05394137
006390,한일현대시멘트(주),2012/12,1.0,1,0.9740537
006400,삼성SDI(주),2013/12,1.0,1,0.9842443
006490,(주)인스코비,2012/12,0.0,0,0.005825342
006570,대림통상(주),2012/12,0.0,0,0.051991235
006580,대양제지공업(주),2015/12,1.0,1,0.9732212
006650,대한유화(주),2012/12,1.0,1,0.9800454
006660,삼성공조(주),2018/12,0.0,0,0.038684554
006730,(주)서부티엔디,2012/12,0.0,0,0.00746949
006740,영풍제지(주),2015/12,1.0,1,0.9817
006840,에이케이홀딩스(주),2020/12,0.0,0,0.08447815
006880,신송홀딩스(주),2016/12,0.0,0,0.024001434
006910,보성파워텍(주),2013/12,0.0,0,0.0764508
006980,(주)우성,2017/12,0.0,0,0.0620833
007110,(주)일신석재,2014/12,0.0,0,0.01864623
007120,(주)미래아이앤지,2013/12,0.0,0,0.009274171
007190,한솔아트원제지(주),2012/12,0.0,0,0.038758088
007210,(주)벽산,2019/12,1.0,1,0.9874507
007280,(주)한국특강,2012/12,0.0,0,0.01539171
007370,진양제약(주),2015/12,0.0,0,0.1063847
007390,(주)네이처셀,2012/12,1.0,1,0.8806795
007460,(주)에이프로젠,2013/12,1.0,1,0.88333637
007530,(주)와이엠,2016/12,0.0,0,0.04598821
007610,선도전기(주),2018/12,0.0,0,0.101380594
007630,(주)폴루스바이오팜,2012/12,0.0,0,0.041774653
007660,(주)이수페타시스,2017/12,0.0,0,0.067932524
007720,(주)대명소노시즌,2012/12,1.0,1,0.85526043
007770,한일화학공업(주),2021/12,1.0,0,0.10248352
