거래소코드,label,pred,proba1,회사명,회계년도
003350,0.0,0.0,0.36520931897374653,(주)한국화장품제조,2012/12
003480,0.0,0.0,0.3414327397911186,(주)한진중공업홀딩스,2012/12
003490,0.0,1.0,0.5172471844959429,(주)대한항공,2012/12
003520,1.0,0.0,0.4928174588623194,영진약품(주),2018/12
003560,0.0,0.0,0.3893295364305746,(주)아이에이치큐,2013/12
003570,1.0,0.0,0.4684363937220154,SNT다이내믹스(주),2014/12
003580,0.0,0.0,0.2456405769727577,에이치엘비글로벌(주),2012/12
003620,0.0,0.0,0.3636008939927965,케이지모빌리티(주),2012/12
003640,0.0,0.0,0.36383787266602774,유니온스틸(주),2012/12
003680,1.0,0.0,0.4157011451532656,한성기업(주),2014/12
003720,0.0,0.0,0.35802013512648556,(주)삼영,2013/12
003830,0.0,0.0,0.29539587394683975,대한화섬(주),2012/12
003920,0.0,0.0,0.3949575123011855,남양유업(주),2013/12
004000,0.0,0.0,0.415065649536658,롯데정밀화학(주),2013/12
004060,0.0,0.0,0.48696714990037265,(주)에스지세계물산,2012/12
004080,1.0,0.0,0.44220375258898326,(주)신흥,2012/12
004100,0.0,0.0,0.3016962948172435,태양금속공업(주),2019/12
004140,0.0,0.0,0.3238601737716854,(주)동방,2013/12
004150,1.0,0.0,0.3190372854740578,한솔홀딩스(주),2014/12
004200,1.0,0.0,0.2496557373889768,고려개발(주),2015/12
004270,0.0,0.0,0.2526860879617107,(주)남성,2012/12
004410,0.0,0.0,0.37492434217392256,서울식품공업(주),2018/12
004430,1.0,0.0,0.3364582154530198,송원산업(주),2014/12
004540,1.0,0.0,0.4491324492175128,깨끗한나라(주),2015/12
004710,0.0,0.0,0.2510055550596916,한솔테크닉스(주),2012/12
004720,0.0,0.0,0.3282720996738205,팜젠사이언스(주),2012/12
004740,0.0,0.0,0.1879745965817097,(주)보루네오가구,2012/12
004770,0.0,0.0,0.22720282314575896,써니전자(주),2012/12
004790,0.0,0.0,0.010148568271231416,(주)렉스엘이앤지,2012/12
004800,1.0,1.0,0.568160087642945,(주)효성,2012/12
004830,1.0,0.0,0.48194271914281295,(주)덕성,2015/12
004870,1.0,0.0,0.20504919693606402,(주)티웨이홀딩스,2012/12
004890,1.0,1.0,0.5865960723515585,동일산업(주),2019/12
004910,0.0,0.0,0.34083421374616285,조광페인트(주),2018/12
004920,0.0,0.0,0.18162197894324056,(주)씨아이테크,2012/12
004960,1.0,0.0,0.43827727184414567,한신공영(주),2012/12
004970,1.0,0.0,0.4283855672909124,신라교역(주),2015/12
004980,1.0,0.0,0.3359932752009241,성신양회(주),2012/12
004990,1.0,0.0,0.24094176277181845,롯데지주(주),2017/12
005010,1.0,0.0,0.407134070274126,(주)휴스틸,2016/12
005030,0.0,0.0,0.3601824842488661,부산주공(주),2012/12
005070,0.0,0.0,0.23624192881191558,코스모신소재(주),2012/12
005090,1.0,0.0,0.32131580005433574,에스지씨에너지(주),2014/12
005110,1.0,0.0,0.35612898833300843,(주)한창,2015/12
005320,1.0,0.0,0.45972790038763095,(주)국동,2017/12
005360,1.0,0.0,0.36019542202411065,(주)모나미,2013/12
005420,0.0,0.0,0.280374349624282,코스모화학(주),2012/12
005450,0.0,0.0,0.20870278466537115,(주)신한,2012/12
005620,0.0,0.0,0.22234162460648355,(주)대성합동지주,2012/12
005690,0.0,0.0,0.13229768115262122,파미셀(주),2012/12
005750,0.0,0.0,0.31266371788245273,대림비앤코(주),2012/12
005850,1.0,1.0,0.5505684616815465,에스엘(주),2018/12
005860,1.0,1.0,0.5217843817622784,한일사료(주),2012/12
005870,0.0,0.0,0.23803324238986898,(주)휴니드테크놀러지스,2012/12
005880,1.0,0.0,0.10445280590968901,대한해운(주),2012/12
005900,0.0,0.0,0.05137581940196483,(주)동양건설산업,2012/12
005950,0.0,1.0,0.5450079547562112,(주)이수화학,2013/12
005960,0.0,0.0,0.44990185540301114,동부건설(주),2012/12
005980,0.0,0.0,0.3776346656148091,성지건설(주),2015/12
006050,1.0,0.0,0.3947386025739223,(주)국영지앤엠,2012/12
006060,1.0,0.0,0.446428459768735,(주)화승인더스트리,2013/12
006090,0.0,0.0,0.33628073528434427,(주)사조오양,2013/12
006110,0.0,0.0,0.38977162948134647,삼아알미늄(주),2013/12
006200,0.0,0.0,0.2740309648117366,(주)한국전자홀딩스,2012/12
006340,1.0,1.0,0.6960575567842228,대원전선(주),2017/12
006360,0.0,0.0,0.09025299671828348,지에스건설(주),2013/12
006370,0.0,0.0,0.21051005346547294,(주)대구백화점,2019/12
006380,0.0,1.0,0.582582065482851,(주)카프로,2012/12
006390,1.0,0.0,0.2578124942498993,한일현대시멘트(주),2012/12
006400,1.0,1.0,0.5160734679646297,삼성SDI(주),2013/12
006490,0.0,0.0,0.0701077551280765,(주)인스코비,2012/12
006570,0.0,0.0,0.32280805427957465,대림통상(주),2012/12
006580,1.0,0.0,0.33339822641478023,대양제지공업(주),2015/12
006650,1.0,1.0,0.5569390018363474,대한유화(주),2012/12
006660,0.0,0.0,0.3771854502823395,삼성공조(주),2018/12
006730,0.0,0.0,0.26330131550917046,(주)서부티엔디,2012/12
006740,1.0,0.0,0.35298123879136906,영풍제지(주),2015/12
006880,0.0,0.0,0.3222056623743102,신송홀딩스(주),2016/12
006910,0.0,0.0,0.4031708728782925,보성파워텍(주),2013/12
006980,0.0,0.0,0.4538016234750494,(주)우성,2017/12
007110,0.0,0.0,0.3289759348776526,(주)일신석재,2014/12
007120,0.0,0.0,0.19470393837524808,(주)미래아이앤지,2013/12
007190,0.0,0.0,0.37155197272427887,한솔아트원제지(주),2012/12
007210,1.0,0.0,0.40218568664526927,(주)벽산,2019/12
007280,0.0,0.0,0.3331938921434373,(주)한국특강,2012/12
007370,0.0,0.0,0.39479867820062275,진양제약(주),2015/12
007390,1.0,0.0,0.34595908034647305,(주)네이처셀,2012/12
007460,1.0,0.0,0.26062910405367545,(주)에이프로젠,2013/12
007530,0.0,0.0,0.3480732617894844,(주)와이엠,2016/12
007610,0.0,0.0,0.413468699089392,선도전기(주),2018/12
007630,0.0,0.0,0.3900159937039848,(주)폴루스바이오팜,2012/12
007660,0.0,0.0,0.3902792621317298,(주)이수페타시스,2017/12
007720,1.0,0.0,0.2635592992186731,(주)대명소노시즌,2012/12
007810,1.0,0.0,0.38439850255828706,(주)코리아써키트,2018/12
007820,1.0,0.0,0.21064355642877794,(주)에스엠코어,2016/12
007860,0.0,0.0,0.3144069407096319,(주)서연,2017/12
007980,1.0,0.0,0.48856365693857357,태평양물산(주),2012/12
008040,0.0,0.0,0.3793130447102626,사조동아원(주),2012/12
008290,1.0,0.0,0.4377827864593579,원풍물산(주),2014/12
008350,1.0,0.0,0.35841487462916305,(주)남선알미늄,2012/12
008420,1.0,1.0,0.5264225399635298,문배철강(주),2012/12
008500,0.0,0.0,0.33715229589638923,일정실업(주),2017/12
008600,1.0,0.0,0.467979257936356,(주)윌비스,2012/12
008700,0.0,1.0,0.5091240711362024,아남전자(주),2012/12
008800,1.0,0.0,0.37002485313859806,(주)행남사,2012/12
008830,0.0,0.0,0.33600961236973054,대동기어(주),2012/12
008900,0.0,0.0,0.020949421902289975,(주)티이씨앤코,2012/12
008970,0.0,0.0,0.35587393748350066,동양철관(주),2013/12
009140,0.0,0.0,0.30748887766493244,경인전자(주),2017/12
009150,1.0,1.0,0.6987304946297386,삼성전기(주),2014/12
009190,0.0,0.0,0.043755728052133534,(주)대양금속,2012/12
009200,1.0,0.0,0.3953877028755349,무림페이퍼(주),2012/12
009270,1.0,1.0,0.5259209726470861,(주)신원,2012/12
009310,1.0,0.0,0.19538070732738785,참엔지니어링(주),2012/12
009320,0.0,0.0,0.22047021764173771,대우전자부품(주),2012/12
009410,1.0,0.0,0.35085063517998877,(주)태영건설,2014/12
009420,0.0,0.0,0.40612265606833103,한올바이오파마(주),2012/12
009460,1.0,0.0,0.4054480415514234,(주)한창제지,2012/12
009470,1.0,0.0,0.4368087105355305,삼화전기(주),2012/12
009520,0.0,1.0,0.564796432801067,(주)포스코엠텍,2013/12
009540,0.0,0.0,0.22270088600998497,에이치디한국조선해양(주),2014/12
009580,1.0,0.0,0.3826240346019067,무림피앤피(주),2014/12
009620,0.0,0.0,0.41230787829661053,삼보산업(주),2013/12
009730,1.0,0.0,0.28354697776452303,(주)코센,2012/12
009770,1.0,1.0,0.5410827720373408,삼정펄프(주),2018/12
009810,0.0,0.0,0.14886582680015284,(주)플레이그램,2012/12
009830,0.0,1.0,0.5282137378320252,한화솔루션(주),2012/12
010060,0.0,0.0,0.42191169249215354,오씨아이홀딩스(주),2013/12
010100,0.0,0.0,0.40768779442856595,한국무브넥스(주),2017/12
010140,0.0,0.0,0.10117649737302083,삼성중공업(주),2015/12
010170,0.0,0.0,0.2779026305271634,대한광통신(주),2013/12
